question_number,issue,group,n,pct_experienced_personally,pct_experienced_or_witnessed
46,Language or content that made me or others feel unwelcome or excluded,Age: 55-64,65,15.4,41.5
46,Language or content that made me or others feel unwelcome or excluded,Age: 25-34,39,28.2,51.3
46,Language or content that made me or others feel unwelcome or excluded,Age: 65-74,20,5.0,45.0
46,Language or content that made me or others feel unwelcome or excluded,Location: Non-US,246,17.9,40.7
46,Language or content that made me or others feel unwelcome or excluded,Location: US,174,29.3,61.5
46,Language or content that made me or others feel unwelcome or excluded,Work role: Employee only,150,22.7,49.3
46,Language or content that made me or others feel unwelcome or excluded,Work role: Owner/Exec,120,23.3,49.2
46,Language or content that made me or others feel unwelcome or excluded,Work role: Freelancer only,79,22.8,45.6
46,Language or content that made me or others feel unwelcome or excluded,Work role: Employee+Freelance,40,25.0,55.0
46,Language or content that made me or others feel unwelcome or excluded,Work role: Other/Non-working,22,13.6,45.5
46,Language or content that made me or others feel unwelcome or excluded,Work role: Employee+Owner,20,25.0,60.0
46,Language or content that made me or others feel unwelcome or excluded,Pay status: Unpaid,248,21.8,46.8
46,Language or content that made me or others feel unwelcome or excluded,Pay status: Paid directly,116,23.3,50.0
46,Language or content that made me or others feel unwelcome or excluded,Pay status: Paid indirectly,67,25.4,58.2
46,Language or content that made me or others feel unwelcome or excluded,Tenure (combined): 15+ years,135,25.2,53.3
46,Language or content that made me or others feel unwelcome or excluded,Tenure (combined): 10-15 years,122,27.0,57.4
46,Language or content that made me or others feel unwelcome or excluded,Tenure (combined): 6-10 years,56,19.6,48.2
46,Language or content that made me or others feel unwelcome or excluded,Tenure (combined): 3-6 years,29,17.2,31.0
